,Year,Quarter,WMT
19710331,1971,1,12.758
19710630,1971,2,18.207
19710930,1971,3,19.205
19711231,1971,4,27.844
19720331,1972,1,21.011
19720630,1972,2,29.918
19720930,1972,3,32.683
19721231,1972,4,41.277
19730331,1973,1,32.737
19730630,1973,2,37.655
19730930,1973,3,42.098
19731231,1973,4,55.071
19740331,1974,1,46.355
19740630,1974,2,56.177
19740930,1974,3,59.462
19741231,1974,4,74.215
19750331,1975,1,64.65
19750630,1975,2,78.852
19750930,1975,3,86.108
19751231,1975,4,110.721
19760331,1976,1,93.971
19760630,1976,2,115.186
19760930,1976,3,121.875
19761231,1976,4,147.775
19770331,1977,1,122.655
19770630,1977,2,152.381
19770930,1977,3,172.637
19771231,1977,4,230.783
19780331,1978,1,167.274
19780630,1978,2,204.085
19780930,1978,3,221.982
19781231,1978,4,306.957
19790331,1979,1,238.569
19790630,1979,2,291.685
19790930,1979,3,300.747
19791231,1979,4,417.175
19800331,1980,1,314.575
19800630,1980,2,372.598
19800930,1980,3,401.842
19801231,1980,4,554.184
19810331,1981,1,434.251
19810630,1981,2,533.653
19810930,1981,3,634.476
19811231,1981,4,842.617
19820331,1982,1,665.229
19820630,1982,2,788.705
19820930,1982,3,827.767
19821231,1982,4,1094.551
19830331,1983,1,854.734
19830630,1983,2,1098.942
19830930,1983,3,1166.594
19831231,1983,4,1546.639
19840331,1984,1,1234.768
19840630,1984,2,1508.533
19840930,1984,3,1583.573
19841231,1984,4,2073.983
19850331,1985,1,1655.661
19850630,1985,2,1934.358
19850930,1985,3,2087.533
19851231,1985,4,2773.936
19860331,1986,1,2344.253
19860630,1986,2,2770.276
19860930,1986,3,2949.008
19861231,1986,4,3845.557
19870331,1987,1,3211.761
19870630,1987,2,3732.237
19870930,1987,3,4015.017
19871231,1987,4,5000.238
19880331,1988,1,4282.012
19880630,1988,2,4845.133
19880930,1988,3,4991.113
19881231,1988,4,6530.734
19890331,1989,1,5373.258
19890630,1989,2,6046.41
19890930,1989,3,6283.496
19891231,1989,4,8107.484
19900331,1990,1,6768.191
19900630,1990,2,7543.508
19900930,1990,3,7930.949
19901231,1990,4,10358.898
19910331,1991,1,9280.566
19910630,1991,2,10339.898
19910930,1991,3,10627.5
19911231,1991,4,13638.797
19920331,1992,1,11649.398
19920630,1992,2,13028.398
19920930,1992,3,13683.797
19921231,1992,4,17122
19930331,1993,1,13920.398
19930630,1993,2,16236.5
19930930,1993,3,16826.898
19931231,1993,4,20360.5
19940331,1994,1,17686.098
19940630,1994,2,19942.297
19940930,1994,3,20417.699
19941231,1994,4,24447.797
19950331,1995,1,20440
19950630,1995,2,22723
19950930,1995,3,22914
19951231,1995,4,27550
19960331,1996,1,22772
19960630,1996,2,25587
19960930,1996,3,25644
19961231,1996,4,30856
19970331,1997,1,25409
19970630,1997,2,28386
19970930,1997,3,28777
19971231,1997,4,35386
19980331,1998,1,29819
19980630,1998,2,33521
19980930,1998,3,33509
19981231,1998,4,40785
19990331,1999,1,35129
19990630,1999,2,38913
19990930,1999,3,40899
19991231,1999,4,51868
20000331,2000,1,43447
20000630,2000,2,46588
20000930,2000,3,46181
20001231,2000,4,57079
20010331,2001,1,48565
20010630,2001,2,53187
20010930,2001,3,53185
20011231,2001,4,64735
20020331,2002,1,52126
20020630,2002,2,56781
20020930,2002,3,55765
20021231,2002,4,66905
20030331,2003,1,57224
20030630,2003,2,63231
20030930,2003,3,63036
20031231,2003,4,75190
20040331,2004,1,65434
20040630,2004,2,70516
20040930,2004,3,69282
20041231,2004,4,82900
20050331,2005,1,70755
20050630,2005,2,76697
20050930,2005,3,75397
20051231,2005,4,89252
20060331,2006,1,79675
20060630,2006,2,85430
20060930,2006,3,84467
20061231,2006,4,99078
20070331,2007,1,86378
20070630,2007,2,92827
20070930,2007,3,91794
20071231,2007,4,107289
20080331,2008,1,94940
20080630,2008,2,102342
20080930,2008,3,98345
20081231,2008,4,108747
20090331,2009,1,94214
20090630,2009,2,100876
20090930,2009,3,99373
20091231,2009,4,113622
20100331,2010,1,99811
20100630,2010,2,103726
20100930,2010,3,101952
20101231,2010,4,116360
20110331,2011,1,104189
20110630,2011,2,109366
20110930,2011,3,110226
20111231,2011,4,123169
20120331,2012,1,113010
20120630,2012,2,114065
20120930,2012,3,113800
20121231,2012,4,127776
20130331,2013,1,114070
20130630,2013,2,116830
20130930,2013,3,115688
20131231,2013,4,129706
20140331,2014,1,114960
20140630,2014,2,120125
20140930,2014,3,119001
20141231,2014,4,131565
20150331,2015,1,114826
20150630,2015,2,120229
20150930,2015,3,117408
20151231,2015,4,129667
20160331,2016,1,115904
20160630,2016,2,120319
20160930,2016,3,118179
20161231,2016,4,130936
20170331,2017,1,117542
20170630,2017,2,122968
20170930,2017,3,123179
20171231,2017,4,136267
20180331,2018,1,122690
20180630,2018,2,128028
20180930,2018,3,124894
20181231,2018,4,138793
20190331,2019,1,123925
20190630,2019,2,130377
20190930,2019,3,127991
20191231,2019,4,141671
20200331,2020,1,134622
20200630,2020,2,137742
20200930,2020,3,134708
20201231,2020,4,152079
